clases,UsAcc,ProdAcc,SupCat,Aj,Aj_ics,Aj_ici
161,0.54,0.8,47149.0,31800.0,35644.0,27957.0
260,0.67,0.2,3343.0,11281.0,13934.0,8629.0
290,0.83,0.76,33789.0,36869.0,39952.0,33787.0
410,0.57,0.65,8929.0,7750.0,9572.0,5928.0
420,0.86,0.89,1297.0,1245.0,1557.0,933.0
50,0.92,0.81,43098.0,48659.0,51658.0,45660.0
Exactitud Global:,0.74
